"date_time","channel","sp_title","category","sport","subsport","gender","length","description"
2023-02-21 06:00:00,"Teledeporte","Liga Femenina de baloncesto",NA,"Otros",NA,NA,90,"El Polideportivo Mendizorrotza acoge el encuentro de la 22ª jornada de la Liga Femenina entre Araski e Ibaeta. Un duelo vasco entre dos conjuntos que ocupan la mitad de la tabla y que intentan acceder a puestos más altos."
2023-02-21 07:30:00,"Teledeporte","Estudio estadio",NA,"Fútbol",NA,NA,101,"El programa se reinventa con una nueva etapa 50 años después de su debut. El periodista deportivo Paco Caro lidera este espacio, que cuenta con la colaboración de Juan Carlos Rivero."
2023-02-21 09:00:00,"Teledeporte","WTA: Dubái",NA,"WTA Tour",NA,NA,99,"La de Dubái es una cita muy importante en el circuito WTA. El torneo de los Emiratos Árabes, de categoría 1000, reúne a la flor y nata del tenis femenino. Jelena Ostapenko se impuso en la edición de 2022."
2023-02-21 11:00:00,"Teledeporte","WTA: Dubái",NA,"WTA Tour",NA,NA,99,"La de Dubái es una cita muy importante en el circuito WTA. El torneo de los Emiratos Árabes, de categoría 1000, reúne a la flor y nata del tenis femenino. Jelena Ostapenko se impuso en la edición de 2022."
2023-02-21 13:00:00,"Teledeporte","WTA: Dubái",NA,"WTA Tour",NA,NA,99,"La de Dubái es una cita muy importante en el circuito WTA. El torneo de los Emiratos Árabes, de categoría 1000, reúne a la flor y nata del tenis femenino. Jelena Ostapenko se impuso en la edición de 2022."
2023-02-21 15:00:00,"Teledeporte","Atletismo: Mundial de cross",NA,"Atletismo",NA,NA,60,"La localidad australiana de Bathurst alberga la disputa de la 44ª edición del campeonato mundial de campo a través. España acude a la cita con 22 atletas, aunque consciente de la superioridad africana."
2023-02-21 16:00:00,"Teledeporte","WTA: Dubái",NA,"WTA Tour",NA,NA,99,"La de Dubái es una cita muy importante en el circuito WTA. El torneo de los Emiratos Árabes, de categoría 1000, reúne a la flor y nata del tenis femenino. Jelena Ostapenko se impuso en la edición de 2022."
2023-02-21 18:00:00,"Teledeporte","Internacionales Chelva MTB",NA,"Otros",NA,NA,105,"Los Internacional de Chelva de bicicleta de montaña ganan peso año tras año. La edición de 2023 cuenta con la máxima categoría UCI, solo por debajo de las copas del mundo. Al trazado valenciano acuden algunos de los mejores especialistas del planeta."
2023-02-21 19:45:00,"Teledeporte","Campeonato de España de atletismo en pista cubierta",NA,"Atletismo",NA,NA,195,"La 59ª edición del Campeonato de España en pista cubierta se disputa en Polideportivo Municipal de Gallur. Del 17 al 19 de febrero, la elite nacional se traslada a Madrid en busca de los 26 títulos en juego, 13 masculinos y 13 femeninos."
2023-02-21 23:00:00,"Teledeporte","Estudio estadio",NA,"Fútbol",NA,NA,101,"El programa se reinventa con una nueva etapa 50 años después de su debut. El periodista deportivo Paco Caro lidera este espacio, que cuenta con la colaboración de Juan Carlos Rivero."
2023-02-22 00:35:00,"Teledeporte","WTA: Dubái",NA,"WTA Tour",NA,NA,112,"La de Dubái es una cita muy importante en el circuito WTA. El torneo de los Emiratos Árabes, de categoría 1000, reúne a la flor y nata del tenis femenino. Jelena Ostapenko se impuso en la edición de 2022."
2023-02-22 02:27:00,"Teledeporte","WTA: Dubái",NA,"WTA Tour",NA,NA,112,"La de Dubái es una cita muy importante en el circuito WTA. El torneo de los Emiratos Árabes, de categoría 1000, reúne a la flor y nata del tenis femenino. Jelena Ostapenko se impuso en la edición de 2022."
2023-02-22 04:25:00,"Teledeporte","Copa de Naciones",NA,"Otros",NA,NA,120,"España cierra su participación en la Copa de Naciones midiéndose a Chequia en el McDonald Jones Stadium de la ciudad australiana de Newcastle. Las de Jorge Vilda pretenden finalizar el torneo con un triunfo de prestigio."
2023-02-22 06:25:00,"Teledeporte","Vuelta a Andalucía Ruta Ciclista del Sol",NA,"Carreras de una semana",NA,NA,65,"Quinta y última etapa de la Vuelta Andalucía 2023 en la que los corredores recorrerán una distancia de 184 kilómetros entre Otura (Granada) y Alhaurín de la Torre (Málaga). Una etapa que presenta cuatro puertos, siendo el más destacado el Alto de los Nuñez."
2023-02-22 07:30:00,"Teledeporte","Estudio estadio",NA,"Fútbol",NA,NA,95,"El programa se reinventa con una nueva etapa 50 años después de su debut. El periodista deportivo Paco Caro lidera este espacio, que cuenta con la colaboración de Juan Carlos Rivero."
2023-02-22 09:00:00,"Teledeporte","WTA: Dubái",NA,"WTA Tour",NA,NA,112,"La de Dubái es una cita muy importante en el circuito WTA. El torneo de los Emiratos Árabes, de categoría 1000, reúne a la flor y nata del tenis femenino. Jelena Ostapenko se impuso en la edición de 2022."
2023-02-22 11:11:00,"Teledeporte","WTA: Dubái",NA,"WTA Tour",NA,NA,112,"La de Dubái es una cita muy importante en el circuito WTA. El torneo de los Emiratos Árabes, de categoría 1000, reúne a la flor y nata del tenis femenino. Jelena Ostapenko se impuso en la edición de 2022."
2023-02-22 13:23:00,"Teledeporte","WTA: Dubái",NA,"WTA Tour",NA,NA,112,"La de Dubái es una cita muy importante en el circuito WTA. El torneo de los Emiratos Árabes, de categoría 1000, reúne a la flor y nata del tenis femenino. Jelena Ostapenko se impuso en la edición de 2022."
2023-02-22 15:35:00,"Teledeporte","Reportajes TDP | Ciclismo",NA,"Ciclismo",NA,NA,10,"Los reportajes de TDP pretenden promocionar el deporte español. Una aproximación a los atletas y a las competiciones de menor seguimiento que sirven para poner en valor el esfuerzo y el sacrificio de los participantes."
2023-02-22 15:45:00,"Teledeporte","Hola Golf",NA,"Golf",NA,NA,15,"Un espacio que analiza toda la actualidad del mundo del golf. El noticiario hace especial hincapié en las citas del PGA Tour y del circuito europeo."
2023-02-22 16:00:00,"Teledeporte","WTA: Dubái",NA,"WTA Tour",NA,NA,112,"La de Dubái es una cita muy importante en el circuito WTA. El torneo de los Emiratos Árabes, de categoría 1000, reúne a la flor y nata del tenis femenino. Jelena Ostapenko se impuso en la edición de 2022."
2023-02-22 18:00:00,"Teledeporte","Internacionales Chelva MTB",NA,"Otros",NA,NA,55,"Los Internacional de Chelva de bicicleta de montaña ganan peso año tras año. La edición de 2023 cuenta con la máxima categoría UCI, solo por debajo de las copas del mundo. Al trazado valenciano acuden algunos de los mejores especialistas del planeta."
2023-02-22 18:55:00,"Teledeporte","Circuito mundial de atletismo en pista cubierta",NA,"Atletismo",NA,NA,155,"Madrid acoge la sexta parada del circuito mundial en pista cubierta. El Centro Deportivo Municipal Gallur es el escenario de una cita a la que acudirán algunos de los atletas más en forma del momento."
